"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-09","17","","8411425232","Old Spice Perú YT IO 22232","739584367","IO22232_PE_Old Spice_Franda_GO_YT_Jan- Feb_CPV_POME_FY1617_InStream","164375393208","Franda","1264","1186","1168","87.69%","6.11%","25.86%","242.58","15.94%","39.41","39014.79","8.15%","75.00%"
"2017-02-11","08","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","147659900281","Machu Pichu","1248","1172","1168","92.51%","26.96%","36.74%","22.73","54.02%","12.3","12915.76","30.84%","87.43%"
"2017-02-17","18","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1236","1171","1168","88.76%","36.11%","45.75%","18.64","63.19%","11.63","11669.73","44.78%","80.63%"
"2017-02-15","23","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","1236","1172","1166","91.83%","31.46%","39.98%","20.11","57.52%","11.48","11996.92","36.64%","85.85%"
"2017-02-03","13","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1165","1165","1165","87.11%","36.44%","49.42%","15.83","66.17%","10.19","9985.99","44.98%","81.03%"
"2017-02-25","10","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","1232","1171","1165","85.28%","23.13%","31.80%","21.75","50.81%","11.07","10454.78","30.44%","75.96%"
"2017-02-15","01","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","1229","1168","1165","90.45%","28.55%","34.70%","20.07","54.70%","11.04","11191.87","36.22%","78.82%"
"2017-02-07","01","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","147659900281","Machu Pichu","1226","1179","1164","89.51%","25.56%","30.85%","22.8","51.80%","11.73","11703.17","33.63%","76.00%"
"2017-02-12","12","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","132290166237","Machu Pichu","1211","1166","1163","92.45%","21.67%","31.53%","22.76","49.66%","11.3","11768.32","25.84%","83.85%"
"2017-02-16","16","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","149150729454","Machu Pichu","1217","1166","1163","89.50%","27.10%","36.28%","22.67","53.70%","12.22","12388.13","32.30%","83.88%"
"2017-02-01","21","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1212","1165","1163","88.50%","26.90%","39.29%","15.87","60.13%","9.54","9542.7","36.19%","74.33%"
"2017-02-25","15","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1218","1165","1159","89.97%","37.96%","49.42%","15.05","67.20%","10.06","10106.23","44.49%","85.31%"
"2017-02-02","19","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1159","1159","1159","87.68%","35.69%","48.91%","15.84","65.45%","10.1","9773.87","44.02%","81.07%"
